"source","source_xml","source_image","target_xml","target_image","objects"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000038.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000038.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000038.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000038.jpg","0"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000039.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000039.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000039.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000039.jpg","0"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000046.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000046.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000046.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000046.jpg","0"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000047.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000047.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000047.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000047.jpg","1"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000048.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000048.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000048.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000048.jpg","2"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000049.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000049.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000049.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000049.jpg","2"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000050.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000050.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000050.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000050.jpg","5"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000051.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000051.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000051.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000051.jpg","1"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000052.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000052.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000052.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000052.jpg","1"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000053.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000053.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000053.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000053.jpg","3"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000054.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000054.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000054.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000054.jpg","7"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000055.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000055.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000055.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000055.jpg","7"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000056.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000056.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000056.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000056.jpg","9"
