epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.83132,1.16232,1.02629,1.0716,0.85314,0.82294,0.87444,0.60371,1.10448,0.7761,1.09092,5.44e-06,5.44e-06,5.44e-06
2,15.9237,1.15417,1.01914,1.08108,0.86013,0.82778,0.87468,0.60377,1.09869,0.76667,1.08802,1.15028e-05,1.15028e-05,1.15028e-05
3,22.7787,1.15764,1.02727,1.08353,0.85633,0.82959,0.88179,0.60455,1.09718,0.76526,1.08771,1.7505e-05,1.7505e-05,1.7505e-05
4,29.597,1.17655,1.03077,1.0834,0.86246,0.81971,0.88076,0.60782,1.09825,0.76669,1.09244,2.34466e-05,2.34466e-05,2.34466e-05
5,36.0213,1.14966,0.9886,1.07754,0.84905,0.83729,0.88858,0.61194,1.10075,0.75614,1.08993,2.93276e-05,2.93276e-05,2.93276e-05
6,42.4809,1.16449,1.00284,1.07833,0.84738,0.84527,0.89163,0.61221,1.1081,0.75729,1.09178,3.5148e-05,3.5148e-05,3.5148e-05
7,48.8412,1.13823,0.98366,1.06631,0.87084,0.81392,0.88807,0.61087,1.09796,0.74632,1.09035,4.09078e-05,4.09078e-05,4.09078e-05
8,55.3264,1.15943,0.99128,1.0741,0.87154,0.82192,0.89502,0.61376,1.1214,0.75452,1.10034,4.66071e-05,4.66071e-05,4.66071e-05
9,63.7211,1.15823,0.99514,1.07671,0.85774,0.84366,0.90118,0.62036,1.1146,0.74766,1.09551,5.22458e-05,5.22458e-05,5.22458e-05
10,70.1424,1.16342,1.01946,1.08371,0.87472,0.83574,0.9037,0.62035,1.12771,0.74713,1.09843,5.78238e-05,5.78238e-05,5.78238e-05
11,76.4155,1.14736,0.97416,1.07535,0.8665,0.85394,0.90739,0.62275,1.11399,0.735,1.09019,6.33413e-05,6.33413e-05,6.33413e-05
12,82.9456,1.16371,0.98061,1.07573,0.86542,0.84831,0.90741,0.61799,1.1196,0.74714,1.09305,6.42974e-05,6.42974e-05,6.42974e-05
13,89.3548,1.15851,0.98448,1.07037,0.88392,0.83358,0.90734,0.61648,1.10683,0.72772,1.0876,6.39608e-05,6.39608e-05,6.39608e-05
14,95.6277,1.1552,0.97374,1.07035,0.87503,0.81479,0.89998,0.60556,1.11994,0.74752,1.09441,6.36242e-05,6.36242e-05,6.36242e-05
15,102.143,1.14467,0.95853,1.06955,0.87895,0.83056,0.90544,0.61484,1.13344,0.72401,1.10165,6.32876e-05,6.32876e-05,6.32876e-05
16,108.537,1.15868,0.98964,1.0787,0.85343,0.86762,0.90946,0.61833,1.13608,0.71662,1.0995,6.2951e-05,6.2951e-05,6.2951e-05
17,114.87,1.1664,0.99832,1.07962,0.86371,0.84688,0.907,0.61632,1.13509,0.72986,1.09809,6.26144e-05,6.26144e-05,6.26144e-05
18,121.416,1.1323,0.93389,1.06167,0.87977,0.854,0.91247,0.62285,1.11945,0.72225,1.10298,6.22778e-05,6.22778e-05,6.22778e-05
19,127.684,1.16029,0.98041,1.07861,0.87459,0.86488,0.91105,0.62007,1.11252,0.71467,1.09478,6.19412e-05,6.19412e-05,6.19412e-05
20,133.993,1.1535,0.97801,1.0733,0.86987,0.85549,0.91432,0.62439,1.12375,0.71635,1.09739,6.16046e-05,6.16046e-05,6.16046e-05
21,140.306,1.1517,0.96107,1.06788,0.88021,0.85316,0.91493,0.62049,1.12169,0.70359,1.0958,6.1268e-05,6.1268e-05,6.1268e-05
22,146.551,1.13735,0.94707,1.06157,0.8567,0.87478,0.9121,0.6212,1.12239,0.71352,1.10293,6.09314e-05,6.09314e-05,6.09314e-05
23,152.775,1.11304,0.91401,1.05865,0.8604,0.85021,0.90972,0.6185,1.1281,0.72863,1.10522,6.05948e-05,6.05948e-05,6.05948e-05
24,159.112,1.13429,0.92408,1.06168,0.86134,0.86947,0.91379,0.61536,1.13525,0.7221,1.11007,6.02582e-05,6.02582e-05,6.02582e-05
25,165.551,1.1466,0.94075,1.06673,0.86126,0.86428,0.91416,0.61623,1.13117,0.7255,1.10455,5.99216e-05,5.99216e-05,5.99216e-05
26,171.976,1.14181,0.93945,1.07138,0.86904,0.8676,0.91441,0.62329,1.12818,0.70766,1.0991,5.9585e-05,5.9585e-05,5.9585e-05
27,178.295,1.13862,0.9414,1.05843,0.85856,0.88231,0.91937,0.62161,1.12795,0.72278,1.10478,5.92484e-05,5.92484e-05,5.92484e-05
28,184.5,1.12917,0.94568,1.06118,0.83235,0.8842,0.91352,0.61878,1.13477,0.72732,1.10567,5.89118e-05,5.89118e-05,5.89118e-05
29,190.746,1.14675,0.953,1.07,0.86228,0.87425,0.91679,0.62169,1.14385,0.7119,1.11225,5.85752e-05,5.85752e-05,5.85752e-05
30,197.101,1.13432,0.91745,1.06282,0.8526,0.87165,0.91618,0.62507,1.11853,0.7238,1.09881,5.82386e-05,5.82386e-05,5.82386e-05
31,203.445,1.13175,0.91452,1.06234,0.87279,0.85305,0.91559,0.62109,1.11559,0.71701,1.09933,5.7902e-05,5.7902e-05,5.7902e-05
32,209.628,1.14192,0.93835,1.0651,0.86812,0.87595,0.92004,0.61877,1.12377,0.70915,1.1001,5.75654e-05,5.75654e-05,5.75654e-05
33,215.877,1.13953,0.94503,1.07037,0.85984,0.88664,0.92291,0.62507,1.14228,0.69825,1.10022,5.72288e-05,5.72288e-05,5.72288e-05
34,222.23,1.12752,0.91146,1.0535,0.8727,0.87321,0.9214,0.6218,1.14686,0.70938,1.10172,5.68922e-05,5.68922e-05,5.68922e-05
