epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7088,1.213,1.20676,1.23717,0.80074,0.83902,0.87305,0.59192,1.19002,0.87302,1.28395,1.088e-05,1.088e-05,1.088e-05
2,35.2013,1.18008,1.12606,1.22601,0.80651,0.86389,0.88623,0.6001,1.17917,0.84181,1.27469,2.23289e-05,2.23289e-05,2.23289e-05
3,51.9686,1.16072,1.08902,1.21206,0.81256,0.85116,0.88734,0.59292,1.18634,0.83615,1.28904,3.36634e-05,3.36634e-05,3.36634e-05
4,68.4984,1.17964,1.10258,1.22805,0.81023,0.85815,0.89248,0.6007,1.17845,0.83858,1.2804,4.48834e-05,4.48834e-05,4.48834e-05
5,84.6174,1.16268,1.06054,1.20552,0.79136,0.86439,0.90199,0.61366,1.17304,0.81622,1.28387,5.5989e-05,5.5989e-05,5.5989e-05
6,101.246,1.17828,1.07345,1.22307,0.81797,0.86447,0.90537,0.60446,1.20137,0.82974,1.28797,6.6317e-05,6.6317e-05,6.6317e-05
7,118.182,1.15433,1.02057,1.20398,0.85513,0.86132,0.91148,0.5997,1.23097,0.8059,1.30393,6.59804e-05,6.59804e-05,6.59804e-05
8,134.259,1.15241,1.03489,1.20429,0.87012,0.8617,0.91839,0.61372,1.2144,0.81099,1.29648,6.56438e-05,6.56438e-05,6.56438e-05
9,151.755,1.14712,1.01825,1.19616,0.84611,0.874,0.91603,0.6235,1.16479,0.79029,1.27703,6.53072e-05,6.53072e-05,6.53072e-05
10,167.969,1.15782,1.01866,1.21039,0.85367,0.87266,0.92084,0.61429,1.19781,0.79891,1.28844,6.49706e-05,6.49706e-05,6.49706e-05
11,184.093,1.14812,0.98984,1.19905,0.86718,0.85828,0.91341,0.61186,1.20022,0.8044,1.28914,6.4634e-05,6.4634e-05,6.4634e-05
12,201.201,1.15968,1.00531,1.20774,0.84267,0.89368,0.92186,0.61868,1.18642,0.76408,1.29101,6.42974e-05,6.42974e-05,6.42974e-05
13,220.021,1.1251,0.95786,1.18813,0.83636,0.90297,0.92251,0.62427,1.17072,0.75931,1.27529,6.39608e-05,6.39608e-05,6.39608e-05
14,237.413,1.13956,0.9614,1.1887,0.87929,0.87321,0.92525,0.62522,1.17106,0.76774,1.26861,6.36242e-05,6.36242e-05,6.36242e-05
15,252.902,1.12771,0.95011,1.18825,0.85593,0.88907,0.92907,0.61801,1.20344,0.75549,1.28844,6.32876e-05,6.32876e-05,6.32876e-05
16,269.59,1.1375,0.97179,1.1901,0.85746,0.87366,0.92442,0.62053,1.17164,0.75901,1.27192,6.2951e-05,6.2951e-05,6.2951e-05
17,288,1.13341,0.95961,1.19725,0.87502,0.87209,0.92431,0.61778,1.18159,0.75561,1.28066,6.26144e-05,6.26144e-05,6.26144e-05
18,305.169,1.13173,0.94766,1.1897,0.85519,0.88721,0.91901,0.62464,1.17961,0.76986,1.27727,6.22778e-05,6.22778e-05,6.22778e-05
19,320.191,1.11658,0.91078,1.18857,0.87081,0.86848,0.92419,0.62224,1.17872,0.7485,1.27291,6.19412e-05,6.19412e-05,6.19412e-05
20,340.155,1.13316,0.96444,1.189,0.88032,0.88774,0.92724,0.6317,1.16323,0.7408,1.26749,6.16046e-05,6.16046e-05,6.16046e-05
21,355.822,1.12769,0.92499,1.17881,0.87414,0.8843,0.92441,0.6257,1.17178,0.75403,1.28034,6.1268e-05,6.1268e-05,6.1268e-05
22,371.265,1.11922,0.92882,1.18274,0.87334,0.89016,0.92785,0.61603,1.19944,0.75086,1.28759,6.09314e-05,6.09314e-05,6.09314e-05
23,387.468,1.10313,0.91098,1.16717,0.88328,0.88276,0.92963,0.62249,1.17192,0.74228,1.27441,6.05948e-05,6.05948e-05,6.05948e-05
24,403.494,1.10016,0.90114,1.16859,0.87329,0.88686,0.93395,0.62322,1.18049,0.73196,1.27599,6.02582e-05,6.02582e-05,6.02582e-05
25,421.626,1.1247,0.91042,1.17963,0.88782,0.87331,0.93141,0.62768,1.16823,0.74442,1.26841,5.99216e-05,5.99216e-05,5.99216e-05
26,438.072,1.11467,0.91272,1.18525,0.87285,0.85549,0.91012,0.61993,1.18587,0.73252,1.27931,5.9585e-05,5.9585e-05,5.9585e-05
27,454.13,1.10732,0.90161,1.17285,0.85707,0.87584,0.92494,0.62243,1.16965,0.75616,1.26738,5.92484e-05,5.92484e-05,5.92484e-05
28,473.643,1.09534,0.8686,1.16435,0.87939,0.86235,0.92653,0.6212,1.18685,0.76075,1.28129,5.89118e-05,5.89118e-05,5.89118e-05
29,490.012,1.10816,0.91037,1.17652,0.86719,0.89269,0.93079,0.61898,1.19193,0.7416,1.28734,5.85752e-05,5.85752e-05,5.85752e-05
30,505.346,1.09979,0.89244,1.1642,0.86411,0.89022,0.93035,0.62159,1.18426,0.72924,1.28036,5.82386e-05,5.82386e-05,5.82386e-05
31,524.204,1.10624,0.87517,1.17554,0.88488,0.89706,0.93286,0.62665,1.18329,0.73033,1.27521,5.7902e-05,5.7902e-05,5.7902e-05
32,538.018,1.09835,0.87283,1.16538,0.85454,0.89372,0.92823,0.62363,1.19297,0.73938,1.28327,5.75654e-05,5.75654e-05,5.75654e-05
33,558.171,1.09161,0.87712,1.16932,0.87511,0.88308,0.92753,0.62787,1.17571,0.73411,1.27527,5.72288e-05,5.72288e-05,5.72288e-05
34,576.018,1.09521,0.87288,1.15842,0.86623,0.8871,0.92825,0.61789,1.20334,0.73751,1.2888,5.68922e-05,5.68922e-05,5.68922e-05
35,591.055,1.08298,0.86606,1.16156,0.85919,0.89802,0.92946,0.6287,1.17282,0.71411,1.26919,5.65556e-05,5.65556e-05,5.65556e-05
36,607.403,1.09651,0.86267,1.17202,0.87411,0.87824,0.92667,0.62012,1.18843,0.76596,1.28469,5.6219e-05,5.6219e-05,5.6219e-05
37,625.218,1.09066,0.85381,1.16227,0.87105,0.88142,0.92913,0.61598,1.18944,0.73646,1.29305,5.58824e-05,5.58824e-05,5.58824e-05
38,640.051,1.08476,0.84382,1.1582,0.87657,0.88496,0.9291,0.62541,1.19288,0.7438,1.28509,5.55458e-05,5.55458e-05,5.55458e-05
39,655.457,1.08689,0.87005,1.16026,0.87186,0.88863,0.93109,0.63158,1.18434,0.72739,1.27359,5.52092e-05,5.52092e-05,5.52092e-05
40,672.449,1.07753,0.84952,1.16639,0.85435,0.90716,0.92361,0.62617,1.18825,0.72919,1.28005,5.48726e-05,5.48726e-05,5.48726e-05
41,690.69,1.0801,0.84142,1.15206,0.8429,0.9057,0.92845,0.62476,1.17754,0.72746,1.27824,5.4536e-05,5.4536e-05,5.4536e-05
42,707.007,1.09288,0.85245,1.16778,0.85981,0.90799,0.92377,0.62135,1.17748,0.73097,1.28157,5.41994e-05,5.41994e-05,5.41994e-05
43,725.228,1.0838,0.85436,1.16114,0.86036,0.91068,0.93109,0.63052,1.1712,0.71657,1.27327,5.38628e-05,5.38628e-05,5.38628e-05
44,741.144,1.09096,0.86671,1.16849,0.84978,0.91549,0.92699,0.62154,1.20001,0.72902,1.28645,5.35262e-05,5.35262e-05,5.35262e-05
45,759.101,1.07648,0.84988,1.16218,0.87219,0.88565,0.92387,0.61691,1.1986,0.75328,1.29881,5.31896e-05,5.31896e-05,5.31896e-05
46,775.006,1.07306,0.84206,1.16237,0.8507,0.91171,0.9272,0.62396,1.1809,0.7268,1.28239,5.2853e-05,5.2853e-05,5.2853e-05
47,791.172,1.08042,0.8441,1.16193,0.87011,0.90119,0.92957,0.62226,1.18562,0.70797,1.27525,5.25164e-05,5.25164e-05,5.25164e-05
48,807.539,1.07448,0.84743,1.1559,0.88261,0.8922,0.92986,0.61853,1.22169,0.70735,1.29437,5.21798e-05,5.21798e-05,5.21798e-05
49,825.1,1.08554,0.84638,1.16569,0.86194,0.90652,0.92845,0.6329,1.17438,0.70638,1.27112,5.18432e-05,5.18432e-05,5.18432e-05
50,841.282,1.07728,0.83588,1.16305,0.88887,0.88897,0.93484,0.63492,1.18018,0.71004,1.28315,5.15066e-05,5.15066e-05,5.15066e-05
51,857.051,1.07044,0.82348,1.15338,0.87278,0.8911,0.92931,0.63404,1.17462,0.72259,1.28851,5.117e-05,5.117e-05,5.117e-05
52,873.139,1.08513,0.83406,1.15756,0.87867,0.88504,0.93126,0.62878,1.19453,0.71384,1.28738,5.08334e-05,5.08334e-05,5.08334e-05
53,890.156,1.06593,0.81355,1.15165,0.87676,0.90168,0.92794,0.63064,1.18233,0.70425,1.28398,5.04968e-05,5.04968e-05,5.04968e-05
54,906.254,1.06969,0.83016,1.15753,0.87497,0.90121,0.9307,0.62788,1.19562,0.71174,1.28961,5.01602e-05,5.01602e-05,5.01602e-05
55,925.015,1.07681,0.83177,1.16236,0.88586,0.89097,0.93041,0.628,1.19779,0.72236,1.28841,4.98236e-05,4.98236e-05,4.98236e-05
56,943.894,1.07302,0.83051,1.15096,0.87847,0.89533,0.93341,0.62608,1.19678,0.72276,1.29401,4.9487e-05,4.9487e-05,4.9487e-05
57,960.212,1.06957,0.84589,1.15732,0.87334,0.89138,0.93643,0.62737,1.18506,0.70938,1.28423,4.91504e-05,4.91504e-05,4.91504e-05
58,976.833,1.07638,0.82931,1.16427,0.87092,0.9038,0.93734,0.63158,1.16448,0.69688,1.27554,4.88138e-05,4.88138e-05,4.88138e-05
59,993.06,1.07034,0.82717,1.15375,0.87009,0.89768,0.93189,0.62479,1.18613,0.71721,1.28245,4.84772e-05,4.84772e-05,4.84772e-05
60,1010.82,1.06102,0.80273,1.15657,0.88111,0.88941,0.9308,0.62424,1.1781,0.69784,1.277,4.81406e-05,4.81406e-05,4.81406e-05
61,1029.29,1.07835,0.81481,1.15893,0.8901,0.87951,0.92858,0.61909,1.18583,0.7074,1.29024,4.7804e-05,4.7804e-05,4.7804e-05
